id;name;unm_49_code;iso_alpha_2_code
1;transformation zany;meh forenenst;pronoun phooey
2;ack pfft;novel because;subject aw
3;deceivingly;waterlogged between;mood creamy tabletop
4;hospitalization;meanwhile meh;from finally
5;after;yet;quirkily
6;furiously randomize;bite-sized courageously whup;endorsement champagne geez
7;how of before;weakly plump once;downgrade after nocturnal
8;finally;each pish;boohoo per ironclad
9;virtue;most once;because globalise
10;upchange mostly;trace why;knowing tide
