id;title;description;date;location;capacity;price;status
1;marvelous oof;../fake-data/blob/hipster.txt;2024-09-14T13:26:37;voluminous overview although;17156;2554.07;ONGOING
2;despite form;../fake-data/blob/hipster.txt;2024-09-14T15:46:33;given;26195;17930.57;CANCELLED
3;hearing impale;../fake-data/blob/hipster.txt;2024-09-14T13:20:34;inasmuch;12751;19781.12;UPCOMING
4;decontrol;../fake-data/blob/hipster.txt;2024-09-14T15:12:18;until after hmph;4222;9960.67;CANCELLED
5;whoever towards;../fake-data/blob/hipster.txt;2024-09-14T00:38:40;tender;23759;23159.48;COMPLETED
6;nautical;../fake-data/blob/hipster.txt;2024-09-14T09:55:51;concur meaningfully;30630;19527.62;CANCELLED
7;void object;../fake-data/blob/hipster.txt;2024-09-13T21:17:15;ego vertigo at;7528;27051.72;CANCELLED
8;spry applaud though;../fake-data/blob/hipster.txt;2024-09-14T10:26:58;key;22681;3136.65;COMPLETED
9;cute finally;../fake-data/blob/hipster.txt;2024-09-14T09:26:30;boastfully triumphantly;23530;15000.91;CANCELLED
10;sarcastic;../fake-data/blob/hipster.txt;2024-09-14T16:12:11;bah sup redouble;12911;173.65;UPCOMING
