id;street_address;postal_code;city;state_province
1;when;unwelcome overextend;Lynwood;where rain
2;sock;mix report and;Felipatown;dirty incidentally bah
3;plan phooey warmhearted;phew;Zettaworth;centralize
4;upwardly when;wrap mope;Fountainebleau;anenst
5;oh resist;accusation yet;Rohnert Park;bond occasion
6;uh-huh;as;Suffolk;tiptoe parole provided
7;sweetly insignificant fooey;sediment nuke;Pagacbury;minute
8;wafer;indeed;Fort Deion;network unto fluffy
9;loftily;until um relieve;Port Esperanza;yum yippee
10;victoriously;another surprisingly;Port Coltonberg;manoeuvre abaft mutiny
