id;name;unm_49_code;iso_alpha_2_code
1;toward geez;how until;um pit
2;but gee sweetly;than castigate;script
3;zowie deceivingly;jovial kookily;programme lament bumpy
4;badly;since at;towards beloved chutney
5;daintily drat;calmly;righteously less peel
6;plus;eek tensely uh-huh;unless whimsical amongst
7;superior soulful kiss;quicker trading meager;panda pressurisation caution
8;bravely fervently;finally;whose carefully original
9;half graze past;creep orange;including
10;quintessential;whoever sardine;consequently pointless till
