id;name;description;price;duration_in_hours;service_type
1;oil maggot between;../fake-data/blob/hipster.txt;23027.5;5478;SPONSORSHIP
2;heavy;../fake-data/blob/hipster.txt;3782.6;26570;EVENT_MANAGEMENT
3;likewise psst;../fake-data/blob/hipster.txt;15753.03;7953;SPONSORSHIP
4;good midst frantically;../fake-data/blob/hipster.txt;9109.52;8473;EVENT_MANAGEMENT
5;whose;../fake-data/blob/hipster.txt;19133.16;28394;MARKETING
6;provided cloakroom;../fake-data/blob/hipster.txt;5215.66;15874;EVENT_MANAGEMENT
7;price lest yahoo;../fake-data/blob/hipster.txt;6100.12;20157;MARKETING
8;fling bountiful;../fake-data/blob/hipster.txt;632.7;26272;MARKETING
9;that;../fake-data/blob/hipster.txt;23807.11;2128;TICKETING
10;nor beneath artistic;../fake-data/blob/hipster.txt;7101.78;2654;MARKETING
