id;name;feedback;rating;date
1;rudely treaty quirkily;../fake-data/blob/hipster.txt;5;2024-09-14T08:30:11
2;ugh;../fake-data/blob/hipster.txt;5;2024-09-13T22:21:21
3;whose incidentally queasily;../fake-data/blob/hipster.txt;2;2024-09-14T15:45:43
4;character;../fake-data/blob/hipster.txt;5;2024-09-14T08:25:14
5;welcome;../fake-data/blob/hipster.txt;3;2024-09-13T23:21:19
6;after;../fake-data/blob/hipster.txt;3;2024-09-13T23:25:40
7;natural ouch record;../fake-data/blob/hipster.txt;1;2024-09-14T09:32:16
8;than once;../fake-data/blob/hipster.txt;4;2024-09-14T06:04:07
9;roughly sulfur;../fake-data/blob/hipster.txt;5;2024-09-14T16:31:39
10;braai oh or;../fake-data/blob/hipster.txt;1;2024-09-14T08:19:23
