id;name;type;prize_amount;start_date;end_date;location;max_participants;status
1;oppose closure;SOLO;7477.01;2024-09-14T01:54:42;2024-09-14T02:57:24;start;7518;IN_PROGRESS
2;infantilise heavily;TEAM;16469.72;2024-09-14T13:45:45;2024-09-14T04:04:26;midst legal ha;11210;UPCOMING
3;quizzically;TEAM;19873.39;2024-09-14T01:20:56;2024-09-13T19:52:57;annual woodchuck carnation;8139;FINISHED
4;midst;TEAM;9097.89;2024-09-14T01:59:39;2024-09-13T17:46:19;crafty espalier;24990;CANCELLED
5;energetic fast crushing;TEAM;4266.16;2024-09-13T18:48:27;2024-09-14T15:28:39;starchy;11462;UPCOMING
6;throughout;SOLO;21216.44;2024-09-14T14:35:44;2024-09-14T07:27:25;paint enhance;13222;IN_PROGRESS
7;bah foolishly;TEAM;12371.94;2024-09-14T07:42:02;2024-09-14T00:45:30;sweetly drat;32554;IN_PROGRESS
8;blah;TEAM;21562.86;2024-09-14T13:26:40;2024-09-14T04:19:54;entrepreneur aw tingle;8587;CANCELLED
9;chrome versus;TEAM;20753.15;2024-09-14T15:30:17;2024-09-14T12:29:32;heavily hound toward;1402;FINISHED
10;volunteer boohoo depose;SOLO;13013.87;2024-09-14T15:52:43;2024-09-14T01:13:05;dizzy urgently;28451;IN_PROGRESS
