id;start_date;end_date;language
1;2024-09-23T17:25:07;2024-09-23T20:56:54;FRENCH
2;2024-09-23T23:19:18;2024-09-24T05:26:07;ENGLISH
3;2024-09-23T14:03:37;2024-09-24T03:31:58;FRENCH
4;2024-09-23T13:52:49;2024-09-24T02:56:13;FRENCH
5;2024-09-23T17:07:57;2024-09-24T06:23:32;SPANISH
6;2024-09-24T08:25:03;2024-09-23T11:16:01;SPANISH
7;2024-09-23T11:48:41;2024-09-23T19:42:20;SPANISH
8;2024-09-23T17:12:39;2024-09-23T16:14:31;FRENCH
9;2024-09-23T23:59:28;2024-09-23T12:59:57;SPANISH
10;2024-09-24T05:49:14;2024-09-23T13:07:38;ENGLISH
