id;street_address;postal_code;city;state_province
1;cue;aw;Jefferyboro;less unless gladly
2;old-fashioned fall suddenly;than mandolin superb;Haagworth;beyond stress
3;overhang finally lapse;thwart;Emmerichton;over freely
4;hopelessly outside transcribe;till um out;Fort Waltonview;grief unfinished
5;rigidly wrongly against;smoothly modulo suborn;Cristianborough;link steer equally
6;anenst;alongside;Midwest City;but
7;yuck;who;Hoover;tan joyously
8;trusty tub;hence verbally stow;Cartwrightshire;what among rotating
9;buoy;where inwardly boo;El Paso;offensively before
10;er drat yuck;scarily suit near;Lake Mohamedstead;harsh crossly
