id;name;unm_49_code;iso_alpha_2_code
1;inside into;about;equatorial unexpectedly
2;sparse uh-huh plumb;inside geez develop;following barring
3;upward astonish since;standard physically;rifle
4;across humming;excepting but;polished
5;meanwhile ack;scarily formal gosh;hail travel helpfully
6;before louse or;and carefully for;and extra-large
7;jiggle thread styling;wetly of fav;disinter searchingly harrow
8;quirkily reverse;worldly qua beast;reveal excepting like
9;why considering;qua querulous eyelashes;wilted conventional indeed
10;fooey;geez;if however
