id;name;description;price;quantity;barcode;unit_size
1;disdain;since;15749.98;9237;nor boohoo;realise less if
2;finally soon;resist phooey;11901.28;14317;quick-witted vainly;mysteriously yuck
3;unfinished oof;amid worriedly;5220.03;11927;yet victoriously;lambast er times
4;pertinent premaster;unless examination regarding;20399.14;20895;past;mobility boohoo delightfully
5;considering chocolate while;slight indeed;8263.75;32723;alongside abnormally gah;willfully consult scowl
6;which following measure;louse ouch;17394.97;7644;elbow how;who ha
7;lawful whether;now;26526.22;29044;bitterly footprint;old unimpressively
8;aboard;promptly;15083.04;16511;gladly unlucky;underneath
9;eek standard;questioningly painfully;19084.2;30442;excluding noxious across;imprison
10;thankfully node wherever;flashy structure;5516.7;5408;fooey upliftingly hence;before football
