id;name;unm_49_code;iso_alpha_2_code
1;urgently acidly;yuck plan boastfully;ruckus shameful eek
2;pigeonhole consequently honestly;mid besides wise;on
3;stealth;fooey;past ew
4;against nervously;pale;daintily
5;knowledgeably;unless speedily godparent;extremely upright exemplary
6;for glorious busily;beam subconscious separately;phew
7;cheery educated aha;burst centurion;pessimistic
8;drat however neatly;bandage irresponsible hm;neuter bah as
9;soon especially;aboard;pollutant until systematise
10;drag;forgery anesthesiologist;till ask
