id;name;contact_info;address;rating
1;trim;idealistic;gee steel disguised;1
2;nor pointed;although heavy hm;down which;3
3;meanwhile;amidst phooey;huzzah why limping;2
4;below quaintly;utterly wont;earrings brr chronograph;3
5;cliff;that inside frisk;boohoo whereas;2
6;searchingly to since;doubtfully barring;ew immaterial;2
7;aside unimportant zowie;painfully rewarding;onto knotty shakily;3
8;overconfidently beyond usefully;gadzooks;while;2
9;er;selfishly;wonderful;1
10;coordinated zesty honestly;well focused without;deliberate;2
