id;code;discount_amount;valid_until;min_purchase
1;openly cooperative;17431.42;2024-10-17T04:12:46;18983.14
2;obsession wherever;15430.67;2024-10-16T17:36:20;30574.81
3;bamboozle storyboard;15753.78;2024-10-16T18:13:41;25104.02
4;near where;10621.92;2024-10-16T08:33:35;22913.62
5;forgery;31741.53;2024-10-17T04:16:49;27827.86
6;alongside why gee;21340.49;2024-10-16T07:39:07;4910.27
7;unbuckle potentially;20992.84;2024-10-17T01:20:03;5502.96
8;defer oats;29344.46;2024-10-16T07:40:30;8732.92
9;clearly yowza;22291.19;2024-10-16T16:41:22;18492.29
10;stifle um brain;14388.54;2024-10-17T00:32:02;8504.94
