id;discount_percentage;start_date;end_date
1;30846.5;2024-10-16T21:24:40;2024-10-16T13:07:28
2;26958.45;2024-10-16T09:15:09;2024-10-16T22:45:21
3;8877.79;2024-10-16T10:09:37;2024-10-16T15:34:41
4;7066.4;2024-10-16T22:41:54;2024-10-16T08:09:13
5;13819.09;2024-10-16T10:30:55;2024-10-17T04:22:00
6;1696.97;2024-10-17T00:51:21;2024-10-17T04:08:30
7;15672.43;2024-10-16T08:23:55;2024-10-17T06:28:57
8;11433.45;2024-10-16T13:13:12;2024-10-16T14:53:28
9;17626.16;2024-10-16T11:59:57;2024-10-17T00:24:58
10;30368.88;2024-10-16T12:22:19;2024-10-17T00:40:40
