id;title;description;date;location;capacity;price;status
1;duh tram;../fake-data/blob/hipster.txt;2024-09-24T05:40:10;rarely although;2651;25469.71;ONGOING
2;puma;../fake-data/blob/hipster.txt;2024-09-23T20:12:10;dreamily giant down;15260;28823.56;UPCOMING
3;thorough eek fooey;../fake-data/blob/hipster.txt;2024-09-23T13:35:48;greatly wherever;14695;22260.52;ONGOING
4;predispose um;../fake-data/blob/hipster.txt;2024-09-24T09:06:54;inborn;5796;16814.29;CANCELLED
5;though bashfully;../fake-data/blob/hipster.txt;2024-09-24T02:13:29;innocently amidst;21542;12153.74;COMPLETED
6;sectional;../fake-data/blob/hipster.txt;2024-09-24T05:49:26;boast;16085;30041.27;UPCOMING
7;summons;../fake-data/blob/hipster.txt;2024-09-23T14:25:20;pink abnormally;21037;17676.44;CANCELLED
8;unpleasant;../fake-data/blob/hipster.txt;2024-09-23T15:34:24;trusty conspiracy;24660;7252.98;COMPLETED
9;productive cell;../fake-data/blob/hipster.txt;2024-09-24T08:23:29;illustrious carpet;26818;4212.96;ONGOING
10;meanwhile vibrissae;../fake-data/blob/hipster.txt;2024-09-23T21:47:58;fearless unruly which;18186;1240.77;ONGOING
