id;recipient;message_type;content;sent_at
1;weekly meat up;regular modulo;indeed;2024-10-16T15:36:15
2;busily radiant;inside ick spicy;ugly meanwhile;2024-10-16T17:52:57
3;cardboard;before;ah;2024-10-16T19:10:17
4;blindside;tempting yahoo;yahoo even;2024-10-16T13:21:59
5;hairy;though vainly towards;repentant;2024-10-17T00:21:47
6;mess;majestically overcook zowie;past;2024-10-16T13:42:40
7;hoover times;however always;dead tambourine;2024-10-16T14:56:35
8;pillar pro zigzag;or arena;gang why;2024-10-17T06:04:40
9;vastly;um which thirsty;culture plus cornet;2024-10-16T16:44:16
10;under;spry technique;contract keelhaul beyond;2024-10-17T02:23:38
