id;order_date;delivery_date;order_status;payment_method;total_amount
1;2024-10-16T16:42:00;2024-10-16T19:16:55;CANCELLED;CARD;21678.56
2;2024-10-17T00:13:03;2024-10-16T18:07:14;CANCELLED;ONLINE;7920.71
3;2024-10-16T23:13:25;2024-10-16T11:58:05;PENDING;CASH;25956.8
4;2024-10-16T11:46:46;2024-10-16T11:55:34;CANCELLED;CARD;18995.79
5;2024-10-16T14:45:26;2024-10-16T11:04:02;PENDING;CARD;22461
6;2024-10-17T06:40:31;2024-10-17T02:14:28;PENDING;ONLINE;16048.14
7;2024-10-17T01:33:16;2024-10-16T17:17:47;COMPLETED;CARD;1884.22
8;2024-10-16T12:37:20;2024-10-16T11:01:30;PENDING;CARD;16253.35
9;2024-10-17T04:53:04;2024-10-16T16:32:39;PENDING;CARD;27458.07
10;2024-10-16T10:34:11;2024-10-17T03:08:48;COMPLETED;CASH;23997.37
