id;quantity_ordered;order_date;expected_arrival_date
1;13022;2024-10-16T23:58:58;2024-10-16T20:21:30
2;7340;2024-10-16T21:46:46;2024-10-16T23:22:28
3;21097;2024-10-17T04:10:07;2024-10-16T10:26:37
4;444;2024-10-16T22:37:35;2024-10-16T09:30:12
5;18479;2024-10-16T08:03:17;2024-10-17T07:13:23
6;11534;2024-10-17T00:45:12;2024-10-17T07:00:52
7;22421;2024-10-16T10:03:34;2024-10-16T10:01:33
8;20823;2024-10-16T17:21:41;2024-10-17T06:54:15
9;13559;2024-10-16T11:32:34;2024-10-16T12:16:33
10;3053;2024-10-16T22:42:09;2024-10-16T10:09:41
