id;name;feedback;rating;date
1;rehash lively among;../fake-data/blob/hipster.txt;5;2024-09-23T10:44:29
2;industrialise;../fake-data/blob/hipster.txt;1;2024-09-24T02:51:52
3;commonly snuck bah;../fake-data/blob/hipster.txt;2;2024-09-23T10:03:45
4;whether vivaciously alongside;../fake-data/blob/hipster.txt;5;2024-09-23T23:22:19
5;elegantly hop;../fake-data/blob/hipster.txt;1;2024-09-24T07:08:01
6;pro gosh;../fake-data/blob/hipster.txt;2;2024-09-23T09:57:11
7;however categorise giant;../fake-data/blob/hipster.txt;1;2024-09-23T10:52:31
8;probable;../fake-data/blob/hipster.txt;5;2024-09-24T03:49:30
9;misconceive contention;../fake-data/blob/hipster.txt;4;2024-09-23T23:46:36
10;dearly minus above;../fake-data/blob/hipster.txt;1;2024-09-24T03:57:13
