id;name;type;prize_amount;start_date;end_date;location;max_participants;status
1;anenst;SOLO;7090.02;2024-09-23T15:01:27;2024-09-23T11:11:01;bully which;21895;CANCELLED
2;assured afore;SOLO;19539.51;2024-09-24T00:03:42;2024-09-23T19:12:52;so;61;IN_PROGRESS
3;of mmm corner;TEAM;647.02;2024-09-24T05:50:04;2024-09-24T01:23:11;promptly unless sleep;23633;FINISHED
4;pawn minus;TEAM;17268.57;2024-09-23T16:23:38;2024-09-24T00:15:28;yowza step-aunt following;19951;CANCELLED
5;grounded pfft;TEAM;8086.95;2024-09-24T01:29:53;2024-09-23T23:26:15;angora promote;14717;UPCOMING
6;quizzical so;TEAM;25656.04;2024-09-23T15:26:16;2024-09-24T02:00:03;ninja jaded;10893;UPCOMING
7;whereas provided consequently;TEAM;11939.15;2024-09-23T12:13:32;2024-09-24T07:55:19;fortify alongside;13603;CANCELLED
8;loosely;TEAM;27669.52;2024-09-24T07:49:44;2024-09-24T01:30:04;nifty flame negligible;8737;UPCOMING
9;into uh-huh;SOLO;6343.5;2024-09-23T11:31:06;2024-09-24T02:47:32;rigidly incidentally carrier;19819;FINISHED
10;meh;TEAM;22496.13;2024-09-23T09:44:38;2024-09-23T22:47:11;since briefly;21986;IN_PROGRESS
